s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.1151245E-001, 0.0000000E+000, 0.0000000E+000, 6.7650944E-011,-4.7187983E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5827401E-009, 6.7179065E-011, 0.0000000E+000, 0.0000000E+000
 1.3439680E+000, 0.0000000E+000, 0.0000000E+000, 1.4532543E-010,-3.9301594E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8926398E-009, 1.4139527E-010, 0.0000000E+000, 0.0000000E+000
 1.9764235E+000, 0.0000000E+000, 0.0000000E+000, 1.7414550E-010,-9.8307817E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8337828E-009, 1.6431472E-010, 0.0000000E+000, 0.0000000E+000
 2.6088791E+000, 0.0000000E+000, 0.0000000E+000, 1.8343871E-010,-1.6581151E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0856009E-008, 1.6685756E-010, 0.0000000E+000, 0.0000000E+000
 3.2413347E+000, 0.0000000E+000, 0.0000000E+000, 1.8607989E-010,-2.3587069E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1056828E-008, 1.6249282E-010, 0.0000000E+000, 0.0000000E+000
 3.8737900E+000, 0.0000000E+000, 0.0000000E+000, 1.8657556E-010,-3.0706314E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1227276E-008, 1.5586925E-010, 0.0000000E+000, 0.0000000E+000
 4.5853028E+000, 0.0000000E+000, 0.0000000E+000, 1.8627725E-010,-3.8425097E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1221815E-008, 1.4785215E-010, 0.0000000E+000, 0.0000000E+000
 5.2177582E+000, 0.0000000E+000, 0.0000000E+000, 1.8550145E-010,-4.6137319E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1310199E-008, 1.3936413E-010, 0.0000000E+000, 0.0000000E+000
 5.8502135E+000, 0.0000000E+000, 0.0000000E+000, 1.8451101E-010,-5.3515812E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1331459E-008, 1.3099520E-010, 0.0000000E+000, 0.0000000E+000
 6.4826694E+000, 0.0000000E+000, 0.0000000E+000, 1.8323681E-010,-6.0941865E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1398091E-008, 1.2229494E-010, 0.0000000E+000, 0.0000000E+000
 7.1151247E+000, 0.0000000E+000, 0.0000000E+000, 1.8165701E-010,-6.8412220E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1471259E-008, 1.1324479E-010, 0.0000000E+000, 0.0000000E+000
 7.7475801E+000, 0.0000000E+000, 0.0000000E+000, 1.7980528E-010,-7.5932744E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1471535E-008, 1.0387254E-010, 0.0000000E+000, 0.0000000E+000
 8.4590931E+000, 0.0000000E+000, 0.0000000E+000, 1.7756702E-010,-8.3919952E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1537677E-008, 9.3647065E-011, 0.0000000E+000, 0.0000000E+000
 9.0915480E+000, 0.0000000E+000, 0.0000000E+000, 1.7499497E-010,-9.2045601E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1567067E-008, 8.2949365E-011, 0.0000000E+000, 0.0000000E+000
 9.7240038E+000, 0.0000000E+000, 0.0000000E+000, 1.7225466E-010,-9.9667941E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1593849E-008, 7.2586718E-011, 0.0000000E+000, 0.0000000E+000
 1.0356460E+001, 0.0000000E+000, 0.0000000E+000, 1.6928152E-010,-1.0732259E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1652659E-008, 6.1958932E-011, 0.0000000E+000, 0.0000000E+000
 1.0988914E+001, 0.0000000E+000, 0.0000000E+000, 1.6595732E-010,-1.1501412E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1722605E-008, 5.0943193E-011, 0.0000000E+000, 0.0000000E+000
 1.1621370E+001, 0.0000000E+000, 0.0000000E+000, 1.6241484E-010,-1.2273325E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1674471E-008, 3.9681581E-011, 0.0000000E+000, 0.0000000E+000
 1.2332883E+001, 0.0000000E+000, 0.0000000E+000, 1.5833848E-010,-1.3100814E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1719210E-008, 2.7330340E-011, 0.0000000E+000, 0.0000000E+000
 1.2965339E+001, 0.0000000E+000, 0.0000000E+000, 1.5399564E-010,-1.3919590E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1813443E-008, 1.4799745E-011, 0.0000000E+000, 0.0000000E+000
 1.3597794E+001, 0.0000000E+000, 0.0000000E+000, 1.4968009E-010,-1.4697219E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1812522E-008, 2.7079036E-012, 0.0000000E+000, 0.0000000E+000
 1.4230249E+001, 0.0000000E+000, 0.0000000E+000, 1.4506804E-010,-1.5477031E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1881364E-008,-9.7022701E-012, 0.0000000E+000, 0.0000000E+000
 1.4862705E+001, 0.0000000E+000, 0.0000000E+000, 1.4019861E-010,-1.6258326E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1864522E-008,-2.2384656E-011, 0.0000000E+000, 0.0000000E+000
 1.5495160E+001, 0.0000000E+000, 0.0000000E+000, 1.3505996E-010,-1.7040420E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1865166E-008,-3.5344241E-011, 0.0000000E+000, 0.0000000E+000
 1.6127617E+001, 0.0000000E+000, 0.0000000E+000, 1.2965211E-010,-1.7822487E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1963459E-008,-4.8572762E-011, 0.0000000E+000, 0.0000000E+000
 1.6839128E+001, 0.0000000E+000, 0.0000000E+000, 1.2363671E-010,-1.8647026E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1949091E-008,-6.2833552E-011, 0.0000000E+000, 0.0000000E+000
 1.7471584E+001, 0.0000000E+000, 0.0000000E+000, 1.1730026E-010,-1.9482715E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2016102E-008,-7.7526889E-011, 0.0000000E+000, 0.0000000E+000
 1.8104040E+001, 0.0000000E+000, 0.0000000E+000, 1.1100474E-010,-2.0264024E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1957108E-008,-9.1635505E-011, 0.0000000E+000, 0.0000000E+000
 1.8736496E+001, 0.0000000E+000, 0.0000000E+000, 1.0446274E-010,-2.1044413E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2028619E-008,-1.0598139E-010, 0.0000000E+000, 0.0000000E+000
 1.9368950E+001, 0.0000000E+000, 0.0000000E+000, 9.7595148E-011,-2.1824504E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2120930E-008,-1.2064989E-010, 0.0000000E+000, 0.0000000E+000
 2.0001406E+001, 0.0000000E+000, 0.0000000E+000, 9.0421054E-011,-2.2603217E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2079606E-008,-1.3561112E-010, 0.0000000E+000, 0.0000000E+000
 2.0712919E+001, 0.0000000E+000, 0.0000000E+000, 8.2451152E-011,-2.3435459E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2146413E-008,-1.5190343E-010, 0.0000000E+000, 0.0000000E+000
 2.1345375E+001, 0.0000000E+000, 0.0000000E+000, 7.4150194E-011,-2.4255925E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2161701E-008,-1.6840906E-010, 0.0000000E+000, 0.0000000E+000
 2.1977829E+001, 0.0000000E+000, 0.0000000E+000, 6.6049324E-011,-2.5033176E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2179832E-008,-1.8428243E-010, 0.0000000E+000, 0.0000000E+000
 2.2610285E+001, 0.0000000E+000, 0.0000000E+000, 5.7664693E-011,-2.5808377E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2218578E-008,-2.0041908E-010, 0.0000000E+000, 0.0000000E+000
 2.3242741E+001, 0.0000000E+000, 0.0000000E+000, 4.8989932E-011,-2.6583134E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2221707E-008,-2.1684141E-010, 0.0000000E+000, 0.0000000E+000
 2.3875196E+001, 0.0000000E+000, 0.0000000E+000, 4.0001396E-011,-2.7355666E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2247017E-008,-2.3355526E-010, 0.0000000E+000, 0.0000000E+000
 2.4586708E+001, 0.0000000E+000, 0.0000000E+000, 3.0099727E-011,-2.8168553E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2270189E-008,-2.5158580E-010, 0.0000000E+000, 0.0000000E+000
 2.5219164E+001, 0.0000000E+000, 0.0000000E+000, 1.9835170E-011,-2.8990331E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2315490E-008,-2.7006814E-010, 0.0000000E+000, 0.0000000E+000
 2.5851620E+001, 0.0000000E+000, 0.0000000E+000, 9.8343662E-012,-2.9754645E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2308588E-008,-2.8771208E-010, 0.0000000E+000, 0.0000000E+000
 2.6484076E+001, 0.0000000E+000, 0.0000000E+000,-4.8294169E-013,-3.0515641E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2380006E-008,-3.0563935E-010, 0.0000000E+000, 0.0000000E+000
 2.7116531E+001, 0.0000000E+000, 0.0000000E+000,-1.1074917E-011,-3.1274408E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2363348E-008,-3.2381899E-010, 0.0000000E+000, 0.0000000E+000
 2.7748987E+001, 0.0000000E+000, 0.0000000E+000,-2.1916094E-011,-3.2029812E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2398873E-008,-3.4221421E-010, 0.0000000E+000, 0.0000000E+000
 2.8381441E+001, 0.0000000E+000, 0.0000000E+000,-3.2984644E-011,-3.2783382E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2405500E-008,-3.6081846E-010, 0.0000000E+000, 0.0000000E+000
 2.9092955E+001, 0.0000000E+000, 0.0000000E+000,-4.5026354E-011,-3.3587132E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2458594E-008,-3.8089767E-010, 0.0000000E+000, 0.0000000E+000
 2.9725410E+001, 0.0000000E+000, 0.0000000E+000,-5.7347279E-011,-3.4377655E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2486306E-008,-4.0112383E-010, 0.0000000E+000, 0.0000000E+000
 3.0357866E+001, 0.0000000E+000, 0.0000000E+000,-6.9221642E-011,-3.5125860E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2455290E-008,-4.2048024E-010, 0.0000000E+000, 0.0000000E+000
 3.0990320E+001, 0.0000000E+000, 0.0000000E+000,-8.1362487E-011,-3.5872229E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2494773E-008,-4.4008477E-010, 0.0000000E+000, 0.0000000E+000
 3.1622776E+001, 0.0000000E+000, 0.0000000E+000,-9.3739800E-011,-3.6614943E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2509039E-008,-4.5988923E-010, 0.0000000E+000, 0.0000000E+000
 3.2255234E+001, 0.0000000E+000, 0.0000000E+000,-1.0634085E-010,-3.7356373E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2534532E-008,-4.7990458E-010, 0.0000000E+000, 0.0000000E+000
 3.2966743E+001, 0.0000000E+000, 0.0000000E+000,-1.1996872E-010,-3.8136088E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2575743E-008,-5.0132960E-010, 0.0000000E+000, 0.0000000E+000
 3.3599201E+001, 0.0000000E+000, 0.0000000E+000,-1.3384761E-010,-3.8922887E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2586992E-008,-5.2307647E-010, 0.0000000E+000, 0.0000000E+000
 3.4231655E+001, 0.0000000E+000, 0.0000000E+000,-1.4718444E-010,-3.9656922E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2609080E-008,-5.4375365E-010, 0.0000000E+000, 0.0000000E+000
 3.4864113E+001, 0.0000000E+000, 0.0000000E+000,-1.6084414E-010,-4.0386928E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2610645E-008,-5.6471342E-010, 0.0000000E+000, 0.0000000E+000
 3.5496567E+001, 0.0000000E+000, 0.0000000E+000,-1.7486491E-010,-4.1112922E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2633837E-008,-5.8599413E-010, 0.0000000E+000, 0.0000000E+000
 3.6129021E+001, 0.0000000E+000, 0.0000000E+000,-1.8926676E-010,-4.1836577E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2666141E-008,-6.0763253E-010, 0.0000000E+000, 0.0000000E+000
 3.6840534E+001, 0.0000000E+000, 0.0000000E+000,-2.0500647E-010,-4.2605902E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2701810E-008,-6.3106549E-010, 0.0000000E+000, 0.0000000E+000
 3.7472992E+001, 0.0000000E+000, 0.0000000E+000,-2.2111180E-010,-4.3359926E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2633377E-008,-6.5471106E-010, 0.0000000E+000, 0.0000000E+000
 3.8105446E+001, 0.0000000E+000, 0.0000000E+000,-2.3658140E-010,-4.4071752E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2733695E-008,-6.7729892E-010, 0.0000000E+000, 0.0000000E+000
 3.8737900E+001, 0.0000000E+000, 0.0000000E+000,-2.5228201E-010,-4.4780033E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2733142E-008,-7.0008234E-010, 0.0000000E+000, 0.0000000E+000
 3.9370358E+001, 0.0000000E+000, 0.0000000E+000,-2.6816815E-010,-4.5485124E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2730473E-008,-7.2301939E-010, 0.0000000E+000, 0.0000000E+000
 4.0002811E+001, 0.0000000E+000, 0.0000000E+000,-2.8424347E-010,-4.6188423E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2748604E-008,-7.4612770E-010, 0.0000000E+000, 0.0000000E+000
 4.0635269E+001, 0.0000000E+000, 0.0000000E+000,-3.0058527E-010,-4.6888619E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2748880E-008,-7.6947146E-010, 0.0000000E+000, 0.0000000E+000
 4.1346779E+001, 0.0000000E+000, 0.0000000E+000,-3.1830859E-010,-4.7625188E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2787463E-008,-7.9456048E-010, 0.0000000E+000, 0.0000000E+000
 4.1979237E+001, 0.0000000E+000, 0.0000000E+000,-3.3642664E-010,-4.8369100E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2798027E-008,-8.2011764E-010, 0.0000000E+000, 0.0000000E+000
 4.2611691E+001, 0.0000000E+000, 0.0000000E+000,-3.5384346E-010,-4.9062130E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2847909E-008,-8.4446476E-010, 0.0000000E+000, 0.0000000E+000
 4.3244148E+001, 0.0000000E+000, 0.0000000E+000,-3.7163500E-010,-4.9753325E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2801156E-008,-8.6916825E-010, 0.0000000E+000, 0.0000000E+000
 4.3876602E+001, 0.0000000E+000, 0.0000000E+000,-3.8986036E-010,-5.0441342E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2849658E-008,-8.9427378E-010, 0.0000000E+000, 0.0000000E+000
 4.4509060E+001, 0.0000000E+000, 0.0000000E+000,-4.0849591E-010,-5.1130041E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2859321E-008,-9.1979632E-010, 0.0000000E+000, 0.0000000E+000
 4.5220570E+001, 0.0000000E+000, 0.0000000E+000,-4.2869851E-010,-5.1863860E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2839902E-008,-9.4733711E-010, 0.0000000E+000, 0.0000000E+000
