Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 2.624E+01, 2.319E+02, 1.005E+02, 3.249E+02, 9.692E+02, 1.352E+02, 1.476E+02, 0.000E+00, 3.230E-02, 0.000E+00, 8.044E+02, 0.000E+00, 0.000E+00, 0.000E+00, 2.740E+03
    1, 5.138E+01, 4.371E+02, 2.180E+02, 6.875E+02, 9.704E+02, 2.552E+02, 9.194E+01, 0.000E+00, 5.481E-02, 0.000E+00, 2.828E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.740E+03
