Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 7.166E+02, 1.298E+04, 2.508E+03, 4.983E+03, 1.324E+04, 3.753E+02, 4.182E+02, 0.000E+00, 4.499E-02, 0.000E+00, 1.080E+04, 0.000E+00, 0.000E+00, 0.000E+00, 4.602E+04
    1, 8.669E+02, 1.489E+04, 3.145E+03, 6.408E+03, 1.321E+04, 7.272E+02, 2.676E+02, 0.000E+00, 2.864E-01, 0.000E+00, 6.507E+03, 0.000E+00, 0.000E+00, 0.000E+00, 4.602E+04
