s,Pa,Pa,m/s,m/s,m/s,m3/s
Time,"INLET PRESSURE","EXIT PRESSURE","Uinst","Vinst","Winst","QDOT"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1278718E-002,-9.8759954E-003, 7.5178196E-003, 4.4723340E-019
 7.1151247E-001, 4.6719955E+000, 7.1102334E-001, 5.2123322E-002,-9.6535806E-003, 6.7186857E-003, 3.2666517E-001
 1.3439680E+000, 2.2384724E+000, 3.4155029E-001, 9.8991753E-002,-8.3534958E-003, 4.3081158E-003, 7.0080220E-001
 1.9764235E+000, 7.6497407E-001, 1.1787802E-001, 1.1542770E-001,-4.9221181E-003, 1.2985421E-003, 8.3834095E-001
 2.6088791E+000, 2.2542206E-001, 3.5893433E-002, 1.1846925E-001,-8.4813700E-005,-1.3612543E-003, 8.8210218E-001
 3.2413346E+000, 6.1663570E-002, 1.0867788E-002, 1.1624312E-001, 4.5599194E-003,-3.0582593E-003, 8.9490716E-001
 3.8737901E+000, 1.5648835E-002, 3.6387968E-003, 1.1273443E-001, 7.5687862E-003,-3.7640920E-003, 8.9855918E-001
 4.5853026E+000, 3.3500756E-003, 1.5319652E-003, 1.0990655E-001, 8.2477730E-003,-3.8498187E-003, 8.9961745E-001
 5.2177581E+000, 6.9675677E-004, 9.6094595E-004, 1.0906881E-001, 6.5991534E-003,-3.4157821E-003, 8.9990191E-001
 5.8502137E+000, 1.2452209E-004, 8.1669152E-004, 1.1019700E-001, 3.6532644E-003,-2.5700017E-003, 8.9997231E-001
 6.4826692E+000,-7.7333408E-004, 7.7326230E-004, 1.1254119E-001, 2.6119913E-004,-1.3216798E-003, 8.9999218E-001
 7.1151247E+000,-2.2788957E-003, 7.5803087E-004, 1.1500862E-001,-2.7933744E-003, 2.4891845E-004, 8.9999779E-001
 7.7475803E+000,-3.6213250E-003, 7.5033146E-004, 1.1636231E-001,-4.8656402E-003, 1.7743373E-003, 8.9999938E-001
