s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.1151245E-001, 0.0000000E+000, 0.0000000E+000, 6.7650944E-011,-4.7286799E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5707961E-009, 6.7178076E-011, 0.0000000E+000, 0.0000000E+000
 1.3439680E+000, 0.0000000E+000, 0.0000000E+000, 1.4532361E-010,-3.9236112E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9254040E-009, 1.4140000E-010, 0.0000000E+000, 0.0000000E+000
 1.9764235E+000, 0.0000000E+000, 0.0000000E+000, 1.7414914E-010,-9.7868838E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8338749E-009, 1.6436225E-010, 0.0000000E+000, 0.0000000E+000
 2.6088791E+000, 0.0000000E+000, 0.0000000E+000, 1.8345781E-010,-1.6467696E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0818919E-008, 1.6699012E-010, 0.0000000E+000, 0.0000000E+000
 3.2413347E+000, 0.0000000E+000, 0.0000000E+000, 1.8610717E-010,-2.3381885E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1090144E-008, 1.6272529E-010, 0.0000000E+000, 0.0000000E+000
 3.8737900E+000, 0.0000000E+000, 0.0000000E+000, 1.8661285E-010,-3.0395865E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1202058E-008, 1.5621699E-010, 0.0000000E+000, 0.0000000E+000
 4.5853028E+000, 0.0000000E+000, 0.0000000E+000, 1.8632545E-010,-3.7987370E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1234659E-008, 1.4833808E-010, 0.0000000E+000, 0.0000000E+000
 5.2177582E+000, 0.0000000E+000, 0.0000000E+000, 1.8555966E-010,-4.5560562E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1318666E-008, 1.3999909E-010, 0.0000000E+000, 0.0000000E+000
 5.8502135E+000, 0.0000000E+000, 0.0000000E+000, 1.8457558E-010,-5.2791277E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1325660E-008, 1.3178431E-010, 0.0000000E+000, 0.0000000E+000
 6.4826694E+000, 0.0000000E+000, 0.0000000E+000, 1.8330957E-010,-6.0051118E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1409872E-008, 1.2325845E-010, 0.0000000E+000, 0.0000000E+000
 7.1151247E+000, 0.0000000E+000, 0.0000000E+000, 1.8173887E-010,-6.7346349E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1436194E-008, 1.1439252E-010, 0.0000000E+000, 0.0000000E+000
 7.7475801E+000, 0.0000000E+000, 0.0000000E+000, 1.7990351E-010,-7.4686066E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1512582E-008, 1.0521744E-010, 0.0000000E+000, 0.0000000E+000
 8.4590931E+000, 0.0000000E+000, 0.0000000E+000, 1.7766615E-010,-8.2467586E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1520579E-008, 9.5198566E-011, 0.0000000E+000, 0.0000000E+000
 9.0915480E+000, 0.0000000E+000, 0.0000000E+000, 1.7510501E-010,-9.0370913E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1562925E-008, 8.4734102E-011, 0.0000000E+000, 0.0000000E+000
 9.7240038E+000, 0.0000000E+000, 0.0000000E+000, 1.7240200E-010,-9.7773389E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1611243E-008, 7.4628608E-011, 0.0000000E+000, 0.0000000E+000
 1.0356460E+001, 0.0000000E+000, 0.0000000E+000, 1.6944159E-010,-1.0519472E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1629282E-008, 6.4246869E-011, 0.0000000E+000, 0.0000000E+000
 1.0988914E+001, 0.0000000E+000, 0.0000000E+000, 1.6613467E-010,-1.1264155E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1733465E-008, 5.3493116E-011, 0.0000000E+000, 0.0000000E+000
 1.1621370E+001, 0.0000000E+000, 0.0000000E+000, 1.6258309E-010,-1.2009996E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1684134E-008, 4.2483133E-011, 0.0000000E+000, 0.0000000E+000
 1.2332883E+001, 0.0000000E+000, 0.0000000E+000, 1.5850583E-010,-1.2808427E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1746697E-008, 3.0421558E-011, 0.0000000E+000, 0.0000000E+000
 1.2965339E+001, 0.0000000E+000, 0.0000000E+000, 1.5418118E-010,-1.3597737E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1764848E-008, 1.8203813E-011, 0.0000000E+000, 0.0000000E+000
 1.3597794E+001, 0.0000000E+000, 0.0000000E+000, 1.4987563E-010,-1.4346857E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1857987E-008, 6.4070657E-012, 0.0000000E+000, 0.0000000E+000
 1.4230249E+001, 0.0000000E+000, 0.0000000E+000, 1.4526449E-010,-1.5097131E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1872437E-008,-5.7068189E-012, 0.0000000E+000, 0.0000000E+000
 1.4862705E+001, 0.0000000E+000, 0.0000000E+000, 1.4042325E-010,-1.5848748E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1859920E-008,-1.8064222E-011, 0.0000000E+000, 0.0000000E+000
 1.5495160E+001, 0.0000000E+000, 0.0000000E+000, 1.3531644E-010,-1.6600318E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1887622E-008,-3.0686737E-011, 0.0000000E+000, 0.0000000E+000
 1.6127617E+001, 0.0000000E+000, 0.0000000E+000, 1.2992496E-010,-1.7350464E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1922779E-008,-4.3579682E-011, 0.0000000E+000, 0.0000000E+000
 1.6839128E+001, 0.0000000E+000, 0.0000000E+000, 1.2393139E-010,-1.8138284E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2005866E-008,-5.7451457E-011, 0.0000000E+000, 0.0000000E+000
 1.7471584E+001, 0.0000000E+000, 0.0000000E+000, 1.1760585E-010,-1.8934686E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1974319E-008,-7.1741009E-011, 0.0000000E+000, 0.0000000E+000
 1.8104040E+001, 0.0000000E+000, 0.0000000E+000, 1.1131124E-010,-1.9677844E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1987756E-008,-8.5467201E-011, 0.0000000E+000, 0.0000000E+000
 1.8736496E+001, 0.0000000E+000, 0.0000000E+000, 1.0475469E-010,-2.0420241E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2048314E-008,-9.9447720E-011, 0.0000000E+000, 0.0000000E+000
 1.9368950E+001, 0.0000000E+000, 0.0000000E+000, 9.7860720E-011,-2.1161379E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2092767E-008,-1.1375307E-010, 0.0000000E+000, 0.0000000E+000
 2.0001406E+001, 0.0000000E+000, 0.0000000E+000, 9.0657522E-011,-2.1899695E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2084852E-008,-1.2833943E-010, 0.0000000E+000, 0.0000000E+000
 2.0712919E+001, 0.0000000E+000, 0.0000000E+000, 8.2663064E-011,-2.2686905E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2149522E-008,-1.4420599E-010, 0.0000000E+000, 0.0000000E+000
 2.1345375E+001, 0.0000000E+000, 0.0000000E+000, 7.4346644E-011,-2.3461958E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2192440E-008,-1.6027294E-010, 0.0000000E+000, 0.0000000E+000
 2.1977829E+001, 0.0000000E+000, 0.0000000E+000, 6.6241228E-011,-2.4193824E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2218394E-008,-1.7569702E-010, 0.0000000E+000, 0.0000000E+000
 2.2610285E+001, 0.0000000E+000, 0.0000000E+000, 5.7849320E-011,-2.4921649E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2204497E-008,-1.9136717E-010, 0.0000000E+000, 0.0000000E+000
 2.3242741E+001, 0.0000000E+000, 0.0000000E+000, 4.9140908E-011,-2.5644665E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2204129E-008,-2.0730574E-010, 0.0000000E+000, 0.0000000E+000
 2.3875196E+001, 0.0000000E+000, 0.0000000E+000, 4.0136001E-011,-2.6365196E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2278032E-008,-2.2351596E-010, 0.0000000E+000, 0.0000000E+000
 2.4586708E+001, 0.0000000E+000, 0.0000000E+000, 3.0251613E-011,-2.7122767E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2286878E-008,-2.4097606E-010, 0.0000000E+000, 0.0000000E+000
 2.5219164E+001, 0.0000000E+000, 0.0000000E+000, 2.0014340E-011,-2.7885434E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2328099E-008,-2.5884000E-010, 0.0000000E+000, 0.0000000E+000
 2.5851620E+001, 0.0000000E+000, 0.0000000E+000, 1.0034455E-011,-2.8593155E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2337855E-008,-2.7589709E-010, 0.0000000E+000, 0.0000000E+000
 2.6484076E+001, 0.0000000E+000, 0.0000000E+000,-2.9285729E-013,-2.9296034E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2357090E-008,-2.9325320E-010, 0.0000000E+000, 0.0000000E+000
 2.7116531E+001, 0.0000000E+000, 0.0000000E+000,-1.0908479E-011,-2.9995202E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2413231E-008,-3.1086050E-010, 0.0000000E+000, 0.0000000E+000
 2.7748987E+001, 0.0000000E+000, 0.0000000E+000,-2.1746018E-011,-3.0691354E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2380467E-008,-3.2865956E-010, 0.0000000E+000, 0.0000000E+000
 2.8381441E+001, 0.0000000E+000, 0.0000000E+000,-3.2823664E-011,-3.1382781E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2391050E-008,-3.4665147E-010, 0.0000000E+000, 0.0000000E+000
 2.9092955E+001, 0.0000000E+000, 0.0000000E+000,-4.4864464E-011,-3.2117182E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2500807E-008,-3.6603629E-010, 0.0000000E+000, 0.0000000E+000
 2.9725410E+001, 0.0000000E+000, 0.0000000E+000,-5.7204488E-011,-3.2837291E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2454554E-008,-3.8557740E-010, 0.0000000E+000, 0.0000000E+000
 3.0357866E+001, 0.0000000E+000, 0.0000000E+000,-6.9145244E-011,-3.3516538E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2493577E-008,-4.0431062E-010, 0.0000000E+000, 0.0000000E+000
 3.0990320E+001, 0.0000000E+000, 0.0000000E+000,-8.1355211E-011,-3.4194894E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2516033E-008,-4.2330415E-010, 0.0000000E+000, 0.0000000E+000
 3.1622776E+001, 0.0000000E+000, 0.0000000E+000,-9.3790732E-011,-3.4871198E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2530483E-008,-4.4250271E-010, 0.0000000E+000, 0.0000000E+000
 3.2255234E+001, 0.0000000E+000, 0.0000000E+000,-1.0636541E-010,-3.5545079E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2584507E-008,-4.6181620E-010, 0.0000000E+000, 0.0000000E+000
 3.2966743E+001, 0.0000000E+000, 0.0000000E+000,-1.1994598E-010,-3.6253060E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2572553E-008,-4.8247658E-010, 0.0000000E+000, 0.0000000E+000
 3.3599201E+001, 0.0000000E+000, 0.0000000E+000,-1.3381123E-010,-3.6969470E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2596195E-008,-5.0350593E-010, 0.0000000E+000, 0.0000000E+000
 3.4231655E+001, 0.0000000E+000, 0.0000000E+000,-1.4714624E-010,-3.7639632E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2617455E-008,-5.2354256E-010, 0.0000000E+000, 0.0000000E+000
 3.4864113E+001, 0.0000000E+000, 0.0000000E+000,-1.6080594E-010,-3.8307006E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2630340E-008,-5.4387600E-010, 0.0000000E+000, 0.0000000E+000
 3.5496567E+001, 0.0000000E+000, 0.0000000E+000,-1.7486127E-010,-3.8970723E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2659147E-008,-5.6456851E-010, 0.0000000E+000, 0.0000000E+000
 3.6129021E+001, 0.0000000E+000, 0.0000000E+000,-1.8929859E-010,-3.9631691E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2670375E-008,-5.8561550E-010, 0.0000000E+000, 0.0000000E+000
 3.6840534E+001, 0.0000000E+000, 0.0000000E+000,-2.0510470E-010,-4.0335748E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2708027E-008,-6.0846218E-010, 0.0000000E+000, 0.0000000E+000
 3.7472992E+001, 0.0000000E+000, 0.0000000E+000,-2.2131735E-010,-4.1030566E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2716392E-008,-6.3162301E-010, 0.0000000E+000, 0.0000000E+000
 3.8105446E+001, 0.0000000E+000, 0.0000000E+000,-2.3688335E-010,-4.1689297E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2721086E-008,-6.5377632E-010, 0.0000000E+000, 0.0000000E+000
 3.8737900E+001, 0.0000000E+000, 0.0000000E+000,-2.5262943E-010,-4.2345370E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2754126E-008,-6.7608314E-010, 0.0000000E+000, 0.0000000E+000
 3.9370358E+001, 0.0000000E+000, 0.0000000E+000,-2.6859198E-010,-4.2999338E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2747776E-008,-6.9858535E-010, 0.0000000E+000, 0.0000000E+000
 4.0002811E+001, 0.0000000E+000, 0.0000000E+000,-2.8477098E-010,-4.3652568E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2769220E-008,-7.2129666E-010, 0.0000000E+000, 0.0000000E+000
 4.0635269E+001, 0.0000000E+000, 0.0000000E+000,-3.0118645E-010,-4.4303763E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2812384E-008,-7.4422408E-010, 0.0000000E+000, 0.0000000E+000
 4.1346779E+001, 0.0000000E+000, 0.0000000E+000,-3.1897798E-010,-4.4988642E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2790245E-008,-7.6886440E-010, 0.0000000E+000, 0.0000000E+000
 4.1979237E+001, 0.0000000E+000, 0.0000000E+000,-3.3713786E-010,-4.5680806E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2819839E-008,-7.9394592E-010, 0.0000000E+000, 0.0000000E+000
 4.2611691E+001, 0.0000000E+000, 0.0000000E+000,-3.5452558E-010,-4.6324315E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2853891E-008,-8.1776873E-010, 0.0000000E+000, 0.0000000E+000
 4.3244148E+001, 0.0000000E+000, 0.0000000E+000,-3.7220525E-010,-4.6962268E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2842203E-008,-8.4182793E-010, 0.0000000E+000, 0.0000000E+000
 4.3876602E+001, 0.0000000E+000, 0.0000000E+000,-3.9030692E-010,-4.7595589E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2880858E-008,-8.6626281E-010, 0.0000000E+000, 0.0000000E+000
 4.4509060E+001, 0.0000000E+000, 0.0000000E+000,-4.0887335E-010,-4.8224665E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2883342E-008,-8.9112000E-010, 0.0000000E+000, 0.0000000E+000
 4.5220570E+001, 0.0000000E+000, 0.0000000E+000,-4.2909596E-010,-4.8892088E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2902649E-008,-9.1801685E-010, 0.0000000E+000, 0.0000000E+000
