Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 3.861E+00, 1.306E+01, 6.246E+00, 2.788E+01, 5.724E+01, 1.187E+01, 2.201E+01, 0.000E+00, 1.434E-02, 0.000E+00, 7.565E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.178E+02
    1, 5.982E+00, 3.069E+01, 1.378E+01, 6.003E+01, 5.717E+01, 2.678E+01, 1.641E+01, 0.000E+00, 1.562E-02, 0.000E+00, 6.960E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.178E+02
