s,Pa,Pa,m/s,m/s,m/s,m3/s
Time,"INLET PRESSURE","EXIT PRESSURE","Uinst","Vinst","Winst","QDOT"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5922934E-004, 6.7653205E-003,-2.5165091E-003,-8.1315163E-020
 7.9056942E-001, 4.5184801E+000, 1.0550804E-002, 4.7767701E-002, 6.3733676E-003,-1.9296400E-003, 3.8215336E-001
 1.4230249E+000, 1.9784794E+000, 4.2519192E-003, 9.2062059E-002, 4.8384390E-003,-6.7509509E-005, 7.3906973E-001
 2.0554805E+000, 6.5634172E-001, 1.3841697E-003, 1.0593805E-001, 2.5992544E-003, 1.9489971E-003, 8.5110201E-001
 2.6879360E+000, 1.8918065E-001, 4.1299314E-004, 1.1037948E-001,-5.0622560E-005, 3.6709661E-003, 8.8589072E-001
 3.3203915E+000, 4.8630348E-002, 1.2404217E-004, 1.1189367E-001,-2.7347392E-003, 4.8191447E-003, 8.9599221E-001
 3.9528471E+000, 8.5581739E-003, 4.1487044E-005, 1.1256320E-001,-5.1413401E-003, 5.3049139E-003, 8.9886672E-001
 4.5853026E+000,-2.4927218E-003, 1.8366651E-005, 1.1292785E-001,-7.0149211E-003, 5.1530508E-003, 8.9967995E-001
 5.2177581E+000,-5.2734329E-003, 1.2082890E-005, 1.1307250E-001,-8.1661049E-003, 4.4628457E-003, 8.9990965E-001
 5.8502137E+000,-5.6751462E-003, 1.0499800E-005, 1.1297477E-001,-8.5010971E-003, 3.3913530E-003, 8.9997450E-001
 6.4826692E+000,-5.3844344E-003, 1.0186470E-005, 1.1261383E-001,-8.0288243E-003, 2.1312891E-003, 8.9999280E-001
 7.1151247E+000,-4.9296459E-003, 1.0190163E-005, 1.1199888E-001,-6.8558617E-003, 8.8207832E-004, 8.9999797E-001
 7.7475803E+000,-4.5009358E-003, 1.0259859E-005, 1.1117525E-001,-5.1666562E-003,-1.7743239E-004, 8.9999943E-001
 8.5381497E+000,-4.1555713E-003, 1.0343916E-005, 1.1009332E-001,-2.9380848E-003,-9.6015452E-004, 8.9999986E-001
 9.1706052E+000,-3.9781380E-003, 1.0412815E-005, 1.0898122E-001,-7.0000215E-004,-1.2213877E-003, 8.9999997E-001
 9.8030607E+000,-3.9511586E-003, 1.0445941E-005, 1.0808562E-001, 1.0395074E-003,-9.5660656E-004, 8.9999999E-001
 1.0435516E+001,-4.0104753E-003, 1.0438031E-005, 1.0738152E-001, 2.3672994E-003,-2.6789220E-004, 9.0000000E-001
 1.1067972E+001,-4.1354278E-003, 1.0377988E-005, 1.0695472E-001, 3.1845516E-003, 7.5799044E-004, 9.0000000E-001
 1.1700427E+001,-4.3165748E-003, 1.0262694E-005, 1.0687227E-001, 3.4654514E-003, 1.9952568E-003, 9.0000000E-001
 1.2332883E+001,-4.5488734E-003, 1.0099241E-005, 1.0717868E-001, 3.2518118E-003, 3.2921086E-003, 9.0000000E-001
 1.2965338E+001,-4.8239788E-003, 9.9041192E-006, 1.0789269E-001, 2.6404116E-003, 4.4864961E-003, 9.0000000E-001
 1.3597794E+001,-5.1230665E-003, 9.6996493E-006, 1.0900659E-001, 1.7649775E-003, 5.4252740E-003, 9.0000000E-001
 1.4230249E+001,-5.4216021E-003, 9.5087701E-006, 1.1048512E-001, 7.7434812E-004, 5.9822186E-003, 9.0000000E-001
 1.4862705E+001,-5.6971025E-003, 9.3510490E-006, 1.1226183E-001,-1.8782637E-004, 6.0722576E-003, 9.0000000E-001
 1.5495161E+001,-5.9375815E-003, 9.2409267E-006, 1.1424141E-001,-1.0009803E-003, 5.6614510E-003, 9.0000000E-001
 1.6127616E+001,-6.1433420E-003, 9.1875952E-006, 1.1630772E-001,-1.5799356E-003, 4.7703525E-003, 9.0000000E-001
 1.6918185E+001,-6.3421192E-003, 9.2019110E-006, 1.1857041E-001,-1.8894905E-003, 3.2782790E-003, 9.0000000E-001
