s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9056942E-001, 0.0000000E+000, 0.0000000E+000, 1.6277681E-011,-1.6030252E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3452192E-010, 1.6117379E-011, 0.0000000E+000, 0.0000000E+000
 1.4230249E+000, 0.0000000E+000, 0.0000000E+000, 3.1539457E-011,-1.2538894E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6788914E-009, 3.0285568E-011, 0.0000000E+000, 0.0000000E+000
 2.0554805E+000, 0.0000000E+000, 0.0000000E+000, 3.6397068E-011,-2.9118332E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1453217E-009, 3.3485235E-011, 0.0000000E+000, 0.0000000E+000
 2.6879361E+000, 0.0000000E+000, 0.0000000E+000, 3.7929567E-011,-4.7179463E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2566833E-009, 3.3211621E-011, 0.0000000E+000, 0.0000000E+000
 3.3203917E+000, 0.0000000E+000, 0.0000000E+000, 3.8355211E-011,-6.5336600E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3119039E-009, 3.1821551E-011, 0.0000000E+000, 0.0000000E+000
 3.9528470E+000, 0.0000000E+000, 0.0000000E+000, 3.8408871E-011,-8.3386889E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3096951E-009, 3.0070182E-011, 0.0000000E+000, 0.0000000E+000
 4.5853028E+000, 0.0000000E+000, 0.0000000E+000, 3.8306098E-011,-1.0156257E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3085907E-009, 2.8149841E-011, 0.0000000E+000, 0.0000000E+000
 5.2177582E+000, 0.0000000E+000, 0.0000000E+000, 3.8117832E-011,-1.1986533E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3416311E-009, 2.6131300E-011, 0.0000000E+000, 0.0000000E+000
 5.8502135E+000, 0.0000000E+000, 0.0000000E+000, 3.7853169E-011,-1.3824062E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3556203E-009, 2.4029108E-011, 0.0000000E+000, 0.0000000E+000
 6.4826694E+000, 0.0000000E+000, 0.0000000E+000, 3.7505743E-011,-1.5671202E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3255250E-009, 2.1834540E-011, 0.0000000E+000, 0.0000000E+000
 7.1151247E+000, 0.0000000E+000, 0.0000000E+000, 3.7103746E-011,-1.7527847E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3559884E-009, 1.9575899E-011, 0.0000000E+000, 0.0000000E+000
 7.7475801E+000, 0.0000000E+000, 0.0000000E+000, 3.6645361E-011,-1.9394222E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3591176E-009, 1.7251138E-011, 0.0000000E+000, 0.0000000E+000
 8.5381498E+000, 0.0000000E+000, 0.0000000E+000, 3.6045094E-011,-2.1552955E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3740456E-009, 1.4492139E-011, 0.0000000E+000, 0.0000000E+000
 9.1706057E+000, 0.0000000E+000, 0.0000000E+000, 3.5380253E-011,-2.3629930E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3690573E-009, 1.1750323E-011, 0.0000000E+000, 0.0000000E+000
 9.8030605E+000, 0.0000000E+000, 0.0000000E+000, 3.4690856E-011,-2.5529040E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3927101E-009, 9.1618168E-012, 0.0000000E+000, 0.0000000E+000
 1.0435516E+001, 0.0000000E+000, 0.0000000E+000, 3.3935066E-011,-2.7437609E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3881084E-009, 6.4974573E-012, 0.0000000E+000, 0.0000000E+000
 1.1067972E+001, 0.0000000E+000, 0.0000000E+000, 3.3111064E-011,-2.9355518E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3819421E-009, 3.7555464E-012, 0.0000000E+000, 0.0000000E+000
 1.1700427E+001, 0.0000000E+000, 0.0000000E+000, 3.2217940E-011,-3.1281975E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4136940E-009, 9.3596530E-013, 0.0000000E+000, 0.0000000E+000
 1.2332883E+001, 0.0000000E+000, 0.0000000E+000, 3.1258423E-011,-3.3211626E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4162710E-009,-1.9532030E-012, 0.0000000E+000, 0.0000000E+000
 1.2965339E+001, 0.0000000E+000, 0.0000000E+000, 3.0233423E-011,-3.5146750E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4157187E-009,-4.9133267E-012, 0.0000000E+000, 0.0000000E+000
 1.3597794E+001, 0.0000000E+000, 0.0000000E+000, 2.9144758E-011,-3.7085865E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4172833E-009,-7.9411068E-012, 0.0000000E+000, 0.0000000E+000
 1.4230249E+001, 0.0000000E+000, 0.0000000E+000, 2.7968781E-011,-3.9026163E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4274991E-009,-1.1057382E-011, 0.0000000E+000, 0.0000000E+000
 1.4862705E+001, 0.0000000E+000, 0.0000000E+000, 2.6711859E-011,-4.0970335E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4253824E-009,-1.4258476E-011, 0.0000000E+000, 0.0000000E+000
 1.5495160E+001, 0.0000000E+000, 0.0000000E+000, 2.5397640E-011,-4.2919180E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4436972E-009,-1.7521541E-011, 0.0000000E+000, 0.0000000E+000
 1.6127617E+001, 0.0000000E+000, 0.0000000E+000, 2.4019755E-011,-4.4870391E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4340336E-009,-2.0850636E-011, 0.0000000E+000, 0.0000000E+000
 1.6918186E+001, 0.0000000E+000, 0.0000000E+000, 2.2396307E-011,-4.7017960E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4555512E-009,-2.4621653E-011, 0.0000000E+000, 0.0000000E+000
 1.7550640E+001, 0.0000000E+000, 0.0000000E+000, 2.0693733E-011,-4.9268281E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4616439E-009,-2.8574548E-011, 0.0000000E+000, 0.0000000E+000
 1.8183096E+001, 0.0000000E+000, 0.0000000E+000, 1.9117579E-011,-5.1227976E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4491272E-009,-3.2110398E-011, 0.0000000E+000, 0.0000000E+000
 1.8815552E+001, 0.0000000E+000, 0.0000000E+000, 1.7494131E-011,-5.3190703E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4718597E-009,-3.5696573E-011, 0.0000000E+000, 0.0000000E+000
 1.9448008E+001, 0.0000000E+000, 0.0000000E+000, 1.5798832E-011,-5.5156369E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4763694E-009,-3.9357536E-011, 0.0000000E+000, 0.0000000E+000
 2.0080463E+001, 0.0000000E+000, 0.0000000E+000, 1.4058060E-011,-5.7126316E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4702031E-009,-4.3068256E-011, 0.0000000E+000, 0.0000000E+000
 2.0712919E+001, 0.0000000E+000, 0.0000000E+000, 1.2266355E-011,-5.9100681E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4806030E-009,-4.6834326E-011, 0.0000000E+000, 0.0000000E+000
 2.1345375E+001, 0.0000000E+000, 0.0000000E+000, 1.0416443E-011,-6.1077370E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4816154E-009,-5.0660927E-011, 0.0000000E+000, 0.0000000E+000
 2.1977829E+001, 0.0000000E+000, 0.0000000E+000, 8.4919520E-012,-6.3056389E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4913710E-009,-5.4564437E-011, 0.0000000E+000, 0.0000000E+000
 2.2610285E+001, 0.0000000E+000, 0.0000000E+000, 6.5010681E-012,-6.5036809E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5044399E-009,-5.8535741E-011, 0.0000000E+000, 0.0000000E+000
 2.3242741E+001, 0.0000000E+000, 0.0000000E+000, 4.4437911E-012,-6.7020191E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4908188E-009,-6.2576400E-011, 0.0000000E+000, 0.0000000E+000
 2.3875196E+001, 0.0000000E+000, 0.0000000E+000, 2.3255780E-012,-6.9005481E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5033355E-009,-6.6679903E-011, 0.0000000E+000, 0.0000000E+000
 2.4665766E+001, 0.0000000E+000, 0.0000000E+000,-1.4188117E-013,-7.1290188E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5069432E-009,-7.1432069E-011, 0.0000000E+000, 0.0000000E+000
 2.5298222E+001, 0.0000000E+000, 0.0000000E+000,-2.7166607E-012,-7.3475721E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5117106E-009,-7.6192381E-011, 0.0000000E+000, 0.0000000E+000
 2.5930677E+001, 0.0000000E+000, 0.0000000E+000,-5.0649760E-012,-7.5463332E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5260680E-009,-8.0528308E-011, 0.0000000E+000, 0.0000000E+000
 2.6563133E+001, 0.0000000E+000, 0.0000000E+000,-7.4742275E-012,-7.7451557E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5190734E-009,-8.4925785E-011, 0.0000000E+000, 0.0000000E+000
 2.7195587E+001, 0.0000000E+000, 0.0000000E+000,-9.9635145E-012,-7.9439537E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5154840E-009,-8.9403051E-011, 0.0000000E+000, 0.0000000E+000
 2.7828043E+001, 0.0000000E+000, 0.0000000E+000,-1.2531018E-011,-8.1425070E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5308538E-009,-9.3956088E-011, 0.0000000E+000, 0.0000000E+000
 2.8460499E+001, 0.0000000E+000, 0.0000000E+000,-1.5159458E-011,-8.3406237E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5311299E-009,-9.8565695E-011, 0.0000000E+000, 0.0000000E+000
 2.9092955E+001, 0.0000000E+000, 0.0000000E+000,-1.7863385E-011,-8.5380417E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5359157E-009,-1.0324380E-010, 0.0000000E+000, 0.0000000E+000
 2.9725410E+001, 0.0000000E+000, 0.0000000E+000,-2.0652806E-011,-8.7346688E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5398731E-009,-1.0799949E-010, 0.0000000E+000, 0.0000000E+000
 3.0357866E+001, 0.0000000E+000, 0.0000000E+000,-2.3504981E-011,-8.9305988E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5510093E-009,-1.1281097E-010, 0.0000000E+000, 0.0000000E+000
 3.0990320E+001, 0.0000000E+000, 0.0000000E+000,-2.6419912E-011,-9.1258445E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5466837E-009,-1.1767836E-010, 0.0000000E+000, 0.0000000E+000
 3.1622776E+001, 0.0000000E+000, 0.0000000E+000,-2.9388502E-011,-9.3203503E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5482483E-009,-1.2259201E-010, 0.0000000E+000, 0.0000000E+000
 3.2255234E+001, 0.0000000E+000, 0.0000000E+000,-3.2417120E-011,-9.5138978E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5482483E-009,-1.2755610E-010, 0.0000000E+000, 0.0000000E+000
 3.3045803E+001, 0.0000000E+000, 0.0000000E+000,-3.5901394E-011,-9.7255911E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5575990E-009,-1.3315730E-010, 0.0000000E+000, 0.0000000E+000
 3.3678257E+001, 0.0000000E+000, 0.0000000E+000,-3.9457518E-011,-9.9461871E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5585561E-009,-1.3891939E-010, 0.0000000E+000, 0.0000000E+000
 3.4310711E+001, 0.0000000E+000, 0.0000000E+000,-4.2692591E-011,-1.0136555E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5636180E-009,-1.4405815E-010, 0.0000000E+000, 0.0000000E+000
 3.4943169E+001, 0.0000000E+000, 0.0000000E+000,-4.5984962E-011,-1.0325767E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5614092E-009,-1.4924263E-010, 0.0000000E+000, 0.0000000E+000
 3.5575623E+001, 0.0000000E+000, 0.0000000E+000,-4.9345545E-011,-1.0513744E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5646304E-009,-1.5448298E-010, 0.0000000E+000, 0.0000000E+000
 3.6208080E+001, 0.0000000E+000, 0.0000000E+000,-5.2761607E-011,-1.0700371E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5855222E-009,-1.5976532E-010, 0.0000000E+000, 0.0000000E+000
 3.6840534E+001, 0.0000000E+000, 0.0000000E+000,-5.6240424E-011,-1.0885564E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5794479E-009,-1.6509606E-010, 0.0000000E+000, 0.0000000E+000
 3.7472992E+001, 0.0000000E+000, 0.0000000E+000,-5.9765625E-011,-1.1069420E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5655507E-009,-1.7045982E-010, 0.0000000E+000, 0.0000000E+000
 3.8105446E+001, 0.0000000E+000, 0.0000000E+000,-6.3339030E-011,-1.1251889E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5762267E-009,-1.7585792E-010, 0.0000000E+000, 0.0000000E+000
 3.8737900E+001, 0.0000000E+000, 0.0000000E+000,-6.6973371E-011,-1.1432916E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5923327E-009,-1.8130253E-010, 0.0000000E+000, 0.0000000E+000
 3.9370358E+001, 0.0000000E+000, 0.0000000E+000,-7.0680471E-011,-1.1612786E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5841417E-009,-1.8680834E-010, 0.0000000E+000, 0.0000000E+000
 4.0002811E+001, 0.0000000E+000, 0.0000000E+000,-7.4455784E-011,-1.1791282E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5788037E-009,-1.9236860E-010, 0.0000000E+000, 0.0000000E+000
 4.0635269E+001, 0.0000000E+000, 0.0000000E+000,-7.8283847E-011,-1.1968422E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5989592E-009,-1.9796807E-010, 0.0000000E+000, 0.0000000E+000
 4.1425838E+001, 0.0000000E+000, 0.0000000E+000,-8.2683073E-011,-1.2170314E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5840312E-009,-2.0438622E-010, 0.0000000E+000, 0.0000000E+000
 4.2058292E+001, 0.0000000E+000, 0.0000000E+000,-8.7169610E-011,-1.2361858E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5976707E-009,-2.1078819E-010, 0.0000000E+000, 0.0000000E+000
 4.2690750E+001, 0.0000000E+000, 0.0000000E+000,-9.1237780E-011,-1.2534731E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5999716E-009,-2.1658509E-010, 0.0000000E+000, 0.0000000E+000
 4.3323204E+001, 0.0000000E+000, 0.0000000E+000,-9.5377800E-011,-1.2706094E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5920566E-009,-2.2243874E-010, 0.0000000E+000, 0.0000000E+000
 4.3955658E+001, 0.0000000E+000, 0.0000000E+000,-9.9603312E-011,-1.2875793E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6128564E-009,-2.2836124E-010, 0.0000000E+000, 0.0000000E+000
 4.4588116E+001, 0.0000000E+000, 0.0000000E+000,-1.0391250E-010,-1.3044122E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6016282E-009,-2.3435372E-010, 0.0000000E+000, 0.0000000E+000
 4.5220570E+001, 0.0000000E+000, 0.0000000E+000,-1.0830354E-010,-1.3211247E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5998796E-009,-2.4041601E-010, 0.0000000E+000, 0.0000000E+000
